Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	ontology label	definition	definition source	english synonym	Parental Term	Parental Term URL	Issues / Status	Other																	
	Sample collection and processing	purpose of sampling details	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The description of why the sample was collected, providing specific details.	Provide an expanded description of why the sample was collected using free text. The description may include the importance of the sample for a particular public health investigation/surveillance activity/research question. If details are not available, provide a null value.	The sample was collected to investigate the prevalence of variants associated with mink-to-human transmission in Canada. 		Details on the Reason for Sampling		description																									
	Sample collection and processing	NML submitted specimen type	select		 	required				The type of specimen submitted to the NML for testing.	This information is required for upload through the CNPHI LaSER system. Select the specimen type from the pick list provided. If sequence data is being submitted rather than a specimen for testing, select “Not Applicable”.	swab		Specimen Type	PH_SPECIMEN_TYPE																										
	Sample collection and processing	NML related specimen relationship type	select							The relationship of the related specimen to the previous submission.	Provide the specimen type of the original sample submitted from the pick list provided, so that additional specimen testing can be tracked in the system.	Follow-up		Related Specimen ID|Related Specimen Relationship Type																											
	Sample collection and processing	anatomical material	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				A substance obtained from an anatomical part of an organism e.g. tissue, blood.	Provide a descriptor if an anatomical material was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Blood	Specimen source	Anatomical Material	PH_ISOLATION_SITE_DESC	isolation_source|anatomical_material																									
	Sample collection and processing	anatomical part	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				An anatomical part of an organism e.g. oropharynx.	Provide a descriptor if an anatomical part was sampled. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Nasopharynx (NP)	Specimen source	Anatomical Site	PH_ISOLATION_SITE	isolation_source|anatomical_part																									
	Sample collection and processing	body product	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				A substance excreted/secreted from an organism e.g. feces, urine, sweat.	Provide a descriptor if a body product was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Feces	Specimen source	Body Product	PH_SPECIMEN_SOURCE_DESC	isolation_source|body_product																									
	Sample collection and processing	environmental material	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				A substance obtained from the natural or man-made environment e.g. soil, water, sewage.	Provide a descriptor if an environmental material was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Face mask	Specimen source	Environmental Material	PH_ENVIRONMENTAL_MATERIAL	isolation_source|environmental_material																									
	Sample collection and processing	environmental site	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				An environmental location may describe a site in the natural or built environment e.g. contact surface, metal can, hospital, wet market, bat cave.	Provide a descriptor if an environmental site was sampled. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Production Facility	Specimen source	Environmental Site	PH_ENVIRONMENTAL_SITE	isolation_source|environmental_site																									
	Sample collection and processing	collection device	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The instrument or container used to collect the sample e.g. swab.	Provide a descriptor if a device was used for sampling. Use the picklist provided in the template. If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Swab	Specimen source	Specimen Collection Matrix	PH_SPECIMEN_TYPE_ORIG	isolation_source|collection_device																									
	Sample collection and processing	collection method	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The process used to collect the sample e.g. phlebotamy, necropsy.	Provide a descriptor if a collection method was used for sampling. Use the picklist provided in the template.  If a desired term is missing from the picklist, contact emma.griffiths@bccdc.ca. If not applicable, do not leave blank. Choose a null value. 	Bronchoalveolar lavage (BAL)	Specimen source	Collection Method	COLLECTION_METHOD	isolation_source|collection_method																									
	Sample collection and processing	collection protocol	xs:token							The name and version of a particular protocol used for sampling.	Free text.	BCRonaSamplingProtocol v. 1.2																													
	Sample collection and processing	specimen processing	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	recommended				Any processing applied to the sample during or after receiving the sample.	Critical for interpreting data. Select all the applicable processes from the pick list. If virus was passaged, include information in "lab host", "passage number", and "passage method" fields. If none of the processes in the pick list apply, put "not applicable".	Virus passage	Passage details/history																												
	Sample collection and processing	lab host	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	recommended				Name and description of the laboratory host used to propagate the source organism or material from which the sample was obtained.	Type of cell line used for propagation. Provide the name of the cell line using the picklist in the template. If not passaged, put "not applicable".	Vero E6 cell line	Passage details/history			lab_host																									
	Sample collection and processing	passage number	xs:nonNegativeInteger		Not Applicable 	recommended				Number of passages.	Provide number of known passages. If not passaged, put "not applicable"	3	Passage details/history			passage_history																									
	Sample collection and processing	passage method	xs:token		Not Applicable	recommended				Description of how organism was passaged.	Free text. Provide a very short description (<10 words). If not passaged, put "not applicable".		Passage details/history			passage_method																									
	Sample collection and processing	biomaterial extracted	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The biomaterial extracted from samples for the purpose of sequencing.	Provide the biomaterial extracted from the picklist in the template.	RNA (total)																													
		Host Information																																							
	Host Information	host (common name)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The commonly used name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Common name e.g. human, bat. If the sample was environmental, put "not applicable.	Human		Animal Type	PH_ANIMAL_TYPE																										
	Host Information	host (scientific name)	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The taxonomic, or scientific name of the host.	Common name or scientific name are required if there was a host. Both can be provided, if known. Use terms from the pick lists in the template. Scientific name e.g. Homo sapiens, If the sample was environmental, put "not applicable	Homo sapiens	Host			host																									
	Host Information	host health state	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Health status of the host at the time of sample collection.	If known, select a descriptor from the pick list provided in the template.	Symptomatic	Patient status	Host Health State	PH_HOST_HEALTH	host_health_state																									
	Host Information	host health status details	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Further details pertaining to the health or disease status of the host at time of collection.	If known, select a descriptor from the pick list provided in the template.	Hospitalized (ICU)		Host Health State Details	PH_HOST_HEALTH_DETAILS																										
	Host Information	host health outcome	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Disease outcome in the host.	If known, select a descriptor from the pick list provided in the template.	Recovered				host_disease_outcome																									
	Host Information	host disease	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The name of the disease experienced by the host.	Select "COVID-19" from the pick list provided in the template.	COVID-19		Host Disease	PH_HOST_DISEASE	host_disease																									
	Host Information	host age	xs:decimal		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required	0	130		Age of host at the time of sampling.	Enter the age of the host in years. If not available, provide a null value. If there is not host, put "Not Applicable".	79	Patient age	Patient Age	PH_AGE	host_age																									
	Host Information	host age unit	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The unit used to measure the host age, in either months or years.	Indicate whether the host age is in months or years. Age indicated in months will be binned to the 0 - 9 year age bin. 			Age Units																											
	Host Information	host age bin	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				Age of host at the time of sampling, expressed as an age group.	Select the corresponding host age bin from the pick list provided in the template. If not available, provide a null value.	60 - 69		Host Age Category	PH_AGE_GROUP																										
	Host Information	host gender	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The gender of the host at the time of sample collection.	Select the corresponding host gender from the pick list provided in the template. If not available, provide a null value. If there is no host, put "Not Applicable".	male	Gender	Patient Sex	VD_SEX	host_sex																									
	Host Information	host residence geo_loc name (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The country of residence of the host.	Select the country name from pick list provided in the template.	United Kingdom																													
	Host Information	host subject ID	xs:token							A unique identifier by which each host can be referred to e.g. #131	Provide the host identifier. Should be a unique, user-defined identifier.	BCxy123				host_subject_id																									
	Host Information	symptom onset date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The date on which the symptoms began or were first noted.	ISO 8601 standard "YYYY-MM-DD".	2020-03-16		Symptoms Onset Date	HC_ONSET_DATE																										
	Host Information	signs and symptoms	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					A perceived change in function or sensation, (loss, disturbance or appearance) indicative of a disease, reported by a patient or clinician.	Select all of the symptoms experienced by the host from the pick list.	Chills (sudden cold sensation); Cough; Fever		Symptoms	HC_SYMPTOMS																										
	Host Information	pre-existing conditions and risk factors	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Patient pre-existing conditions and risk factors. <li>Pre-existing condition: A medical condition that existed prior to the current infection. <li>Risk Factor: A variable associated with an increased risk of disease or infection.	Select all of the pre-existing conditions and risk factors experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Asthma; Pregnancy; Smoking																													
	Host Information	complications	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Patient medical complications that are believed to have occurred as a result of host disease.	Select all of the complications experienced by the host from the pick list. If the desired term is missing, contact the curation team.	Acute Respiratory Failure; Coma; Septicemia																													
		Host vaccination information																																							
	Host vaccination information	host vaccination status	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The vaccination status of the host (fully vaccinated, partially vaccinated, or not vaccinated).	Select the vaccination status of the host from the pick list.	Fully Vaccinated																													
	Host vaccination information	vaccine name	xs:token							The name of the vaccine.	Free text. Provide the name of the vaccine.	Pfizer-BioNTech COVID-19 vaccine																													
	Host vaccination information	number of vaccine doses received	xs:nonNegativeInteger							The number of doses of the vaccine recived by the host.	Record how many doses of the vaccine the host has received.	2																													
	Host vaccination information	first dose vaccination date 	xs:date							The date the host was first vaccinated.	Provide the vaccination date in ISO 8601 standard format "YYYY-MM-DD".	2021-02-26																													
	Host vaccination information	last dose vaccination date	xs:date							The date the host received their last dose of vaccine.	Provide the date that the last dose of the vaccine was administered. Provide the last dose vaccination date in ISO 8601 standard format "YYYY-MM-DD".	2021-04-09																													
		Host exposure information																																							
	Host exposure information	location of exposure geo_loc name (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The country where the host was likely exposed to the causative agent of the illness.	Select the country name from pick list provided in the template.	Canada																													
	Host exposure information	destination of most recent travel (city)	xs:token							The name of the city that was the destination of most recent travel.	Provide the name of the city that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	New York City		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL																										
	Host exposure information	destination of most recent travel (state/province/territory)	xs:token							The name of the province that was the destination of most recent travel.	Provide the name of the state/province/territory that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	California		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL																										
	Host exposure information	destination of most recent travel (country)	select	geo_loc_name (country)	Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The name of the country that was the destination of most recent travel.	Provide the name of the country that the host travelled to. Use this look-up service to identify the standardized term: https://www.ebi.ac.uk/ols/ontologies/gaz	United Kingdom		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL																										
	Host exposure information	most recent travel departure date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The date of a person's most recent departure from their primary residence (at that time) on a journey to one or more other locations.	Provide the travel departure date.	2020-03-16		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL																										
	Host exposure information	most recent travel return date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The date of a person's most recent return to some residence from a journey originating at that residence.	Provide the travel return date.	2020-04-26		Country of Travel|Province of Travel|City of Travel|Travel start date|Travel End Date	PH_TRAVEL																										
	Host exposure information	travel history	xs:token							Travel history in last six months.	Specify the countries (and more granular locations if known, separated by a comma) travelled in the last six months; can include multiple travels. Separate multiple travel events with a semi-colon. List most recent travel first.	Canada, Vancouver; USA, Seattle; Italy, Milan																													
	Host exposure information	exposure event	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Event leading to exposure.	Select an exposure event from the pick list provided in the template. If the desired term is missing, contact the curation team.	Convention	Additional location information	Exposure Event	PH_EXPOSURE																										
	Host exposure information	exposure contact level	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The exposure transmission contact type.	Select direct or indirect exposure from the pick-list.	Direct																													
	Host exposure information	host role	multiple							The role of the host in relation to the exposure setting.	Select the host's personal role(s) from the pick list provided in the template. If the desired term is missing, contact the curation team.	Patient																													
	Host exposure information	exposure setting	multiple							The setting leading to exposure.	Select the host exposure setting(s) from the pick list provided in the template. If a desired term is missing, contact the curation team.	Healthcare Setting																													
	Host exposure information	exposure details	xs:token							Additional host exposure information.	Free text description of the exposure.	Host role - Other: Bus Driver																													
																																									
																																									
		Host reinfection information																																							
	Host reinfection information	prior SARS-CoV-2 infection	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Whether there was prior SARS-CoV-2 infection.	Ik known, provide infromation about whether the individual had a previous SARS-CoV-2 infection. Select a value from the pick list.	Yes																													
	Host reinfection information	prior SARS-CoV-2 infection isolate	xs:token							The identifier of the isolate found in the prior SARS-CoV-2 infection.	Provide the isolate name of the most recent prior infection. Structure the "isolate" name to be ICTV/INSDC compliant in the following format: "SARS-CoV-2/host/country/sampleID/date".	SARS-CoV-2/human/USA/CA-CDPH-001/2020																													
	Host reinfection information	prior SARS-CoV-2 infection date	xs:date							The date of diagnosis of the prior SARS-CoV-2 infection.	Provide the date that the most recent prior infection was diagnosed. Provide the prior SARS-CoV-2 infection date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-23																													
	Host reinfection information	prior SARS-CoV-2 antiviral treatment	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					Whether there was prior SARS-CoV-2 treatment with an antiviral agent.	If known, provide infromation about whether the individual had a previous SARS-CoV-2 antiviral treatment. Select a value from the pick list.	No prior antiviral treatment		prior_SARS-CoV-2_antiviral_treatment																											
	Host reinfection information	prior SARS-CoV-2 antiviral treatment agent	xs:token							The name of the antiviral treatment agent administered during the prior SARS-CoV-2 infection.	Provide the name of the antiviral treatment agent administered during the most recent prior infection. If no treatment was administered, put "No treatment". If multiple antiviral agents were administered, list them all separated by commas.	Remdesivir																													
	Host reinfection information	prior SARS-CoV-2 antiviral treatment date	xs:date							The date treatment was first administered during the prior SARS-CoV-2 infection.	Provide the date that the antiviral treatment agent was first administered during the most recenrt prior infection. Provide the prior SARS-CoV-2 treatment date in ISO 8601 standard format "YYYY-MM-DD".	2021-01-28																													
																																									
																																									
		Sequencing																																							
	Sequencing	purpose of sequencing	select		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The reason that the sample was sequenced.	The reason why a sample was originally collected may differ from the reason why it was selected for sequencing. The reason a sample was sequenced may provide information about potential biases in sequencing strategy. Provide the purpose of sequencing from the picklist in the template. The reason for sample collection should be indicated in the "purpose of sampling" field. 	Baseline surveillance (random sampling)		Reason for Sequencing		purpose_of_sequencing																									
	Sequencing	purpose of sequencing details	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The description of why the sample was sequenced providing specific details.	Provide an expanded description of why the sample was sequenced using free text. The description may include the importance of the sequences for a particular public health investigation/surveillance activity/research question. Suggested standardized descriotions include: Screened for S gene target failure (S dropout), Screened for mink variants, Screened for B.1.1.7 variant, Screened for B.1.135 variant, Screened for P.1 variant, Screened due to travel history, Screened due to close contact with infected individual, Assessing public health control measures, Determining early introductions and spread, Investigating airline-related exposures, Investigating temporary foreign worker, Investigating remote regions, Investigating health care workers, Investigating schools/universities, Investigating reinfection.	Screened for S gene target failure (S dropout)		Details on the Reason for Sequencing																											
	Sequencing	sequencing date	xs:date		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The date the sample was sequenced.	ISO 8601 standard "YYYY-MM-DD".	2020-06-22																													
	Sequencing	library ID	xs:token			recommended				The user-specified identifier for the library prepared for sequencing.	The library name should be unique, and can be an autogenerated ID from your LIMS, or modification of the isolate ID.	XYZ_123345																													
	Sequencing	amplicon size	xs:token							The length of the amplicon generated by PCR amplification.	Provide the amplicon size, including the units.	300bp																													
	Sequencing	library preparation kit	xs:token							The name of the DNA library preparation kit used to generate the library being sequenced.	Provide the name of the library preparation kit used.	Nextera XT																													
	Sequencing	flow cell barcode	xs:token							The barcode of the flow cell used for sequencing.	Provide the barcode of the flow cell used for sequencing the sample.	FAB06069																													
	Sequencing	sequencing instrument	multiple		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The model of the sequencing instrument used.	Select a sequencing instrument from the picklist provided in the template.	MinIon	Sequencing technology	Sequencing Instrument																											
	Sequencing	sequencing protocol name	xs:token			recommended				The name and version number of the sequencing protocol used.	Provide the name and version of the sequencing protocol e.g. 1D_DNA_MinION	https://www.protocols.io/view/covid-19-artic-v3-illumina-library-construction-an-bibtkann		Sequencing Protocol Name	PH_TESTING_PROTOCOL																										
	Sequencing	sequencing protocol  	xs:token							The protocol used to generate the sequence.	Provide a free text description of the methods and materials used to generate the sequence. Suggested text, fill in information where indicated.: "Viral sequencing was performed following a tiling amplicon strategy using the <fill in> primer scheme. Sequencing was performed using a <fill in> sequencing instrument. Libraries were prepared using <fill in> library kit. "	Genomes were generated through amplicon sequencing of 1200 bp amplicons with Freed schema primers. Libraries were created using Illumina DNA Prep kits, and sequence data was produced using Miseq Micro v2 (500 cycles) sequencing kits.																													
	Sequencing	sequencing kit number	xs:token							The manufacturer's kit number.	Alphanumeric value.	AB456XYZ789																													
	Sequencing	amplicon pcr primer scheme	xs:token							The specifications of the primers (primer sequences, binding positions, fragment size generated etc) used to generate the amplicons to be sequenced.	Provide the name and version of the primer scheme used to generate the amplicons for sequencing.	https://github.com/joshquick/artic-ncov2019/blob/master/primer_schemes/nCoV-2019/V3/nCoV-2019.tsv																													
																																									
																																									
		Bioinformatics and QC metrics																																							
	Bioinformatics and QC metrics	raw sequence data processing method	xs:token			recommended				The names of the software and version number used for raw data processing such as removing barcodes, adapter trimming, filtering etc.	Provide the software name followed by the version e.g. Trimmomatic v. 0.38, Porechop v. 0.2.3	Porechop 0.2.3																													
	Bioinformatics and QC metrics	dehosting method	xs:token							The method used to remove host reads from the pathogen sequence.	Provide the name and version number of the software used to remove host reads.	Nanostripper																													
	Bioinformatics and QC metrics	consensus sequence name	xs:token							The name of the consensus sequence.	Provide the name and version number of the consensus sequence.	ncov123assembly3																													
	Bioinformatics and QC metrics	consensus sequence filename	xs:token							The name of the consensus sequence file.	Provide the name and version number of the consensus sequence FASTA file.	ncov123assembly.fasta																													
	Bioinformatics and QC metrics	consensus sequence filepath	xs:token							The filepath of the consesnsus sequence file.	Provide the filepath of the consensus sequence FASTA file.	/User/Documents/RespLab/Data/ncov123assembly.fasta																													
	Bioinformatics and QC metrics	consensus sequence software name	xs:token			required				The name of software used to generate the consensus sequence.	Provide the name of the software used to generate the consensus sequence.	Ivar		consensus sequence 																											
	Bioinformatics and QC metrics	consensus sequence software version	xs:decimal			required				The version of the software used to generate the consensus sequence.	Provide the version of the software used to generate the consensus sequence.	1.3		consensus sequence 																											
	Bioinformatics and QC metrics	breadth of coverage value	xs:token							The percentage of the reference genome covered by the sequenced data, to a prescribed depth.	Provide value as a percent.	95%																													
