Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GRDI	ontology label	definition	definition source	english synonym	Parental Term	Parental Term URL	Issues / Status	Other	
	Fields to put in sections	MIC_AZM	xs:token																			
	Fields to put in sections	MIC_CEP	xs:token																			
	Fields to put in sections	MIC_CHL	xs:token																			
	Fields to put in sections	MIC_CIP	xs:token																			
	Fields to put in sections	MIC_CRO	xs:token																			
	Fields to put in sections	MIC_FOX	xs:token																			
	Fields to put in sections	MIC_GEN	xs:token																			
	Fields to put in sections	MIC_KAN	xs:token																			
	Fields to put in sections	MIC_MEM	xs:token																			
	Fields to put in sections	MIC_NAL	xs:token																			
	Fields to put in sections	MIC_SSS	xs:token																			
	Fields to put in sections	MIC_STR	xs:token																			
	Fields to put in sections	MIC_SXT	xs:token																			
	Fields to put in sections	MIC_TET	xs:token																			
	Fields to put in sections	MIC_TIO	xs:token																			
	Fields to put in sections	N_OF_RESISTANCE	xs:token																			
	Fields to put in sections	NBTESTED	xs:token																			
	Fields to put in sections	R_PATTERN	xs:token																			
	Fields to put in sections	AMR_PA2C	xs:token																			
	Fields to put in sections	RLEAST1	xs:token																			
	Fields to put in sections	RLEAST2	xs:token																			
	Fields to put in sections	RLEAST3	xs:token																			
	Fields to put in sections	RLEAST4	xs:token																			
	Fields to put in sections	RLEAST5	xs:token																			
	Fields to put in sections	SIR_AMC	xs:token																			
	Fields to put in sections	SIR_AMK	xs:token																			
	Fields to put in sections	SIR_AMP	xs:token																			
	Fields to put in sections	SIR_AZM	xs:token																			
	Fields to put in sections	SIR_CEP	xs:token																			
	Fields to put in sections	SIR_CHL	xs:token																			
	Fields to put in sections	SIR_CIP	xs:token																			
	Fields to put in sections	SIR_CRO	xs:token																			
	Fields to put in sections	SIR_FOX	xs:token																			
	Fields to put in sections	SIR_GEN	xs:token																			
	Fields to put in sections	SIR_KAN	xs:token																			
	Fields to put in sections	SIR_MEM	xs:token																			
	Fields to put in sections	SIR_NAL	xs:token																			
	Fields to put in sections	SIR_SSS	xs:token																			
	Fields to put in sections	SIR_STR	xs:token																			
	Fields to put in sections	SIR_SXT	xs:token																			
	Fields to put in sections	SIR_TET	xs:token																			
	Fields to put in sections	SIR_TIO	xs:token																			
	Fields to put in sections	RAMC	xs:token																			
	Fields to put in sections	RAMK	xs:token																			
	Fields to put in sections	RAMP	xs:token																			
	Fields to put in sections	RAZM	xs:token																			
	Fields to put in sections	RCEP	xs:token																			
	Fields to put in sections	RCHL	xs:token																			
	Fields to put in sections	RCIP	xs:token																			
	Fields to put in sections	RCRO	xs:token																			
	Fields to put in sections	RFOX	xs:token																			
	Fields to put in sections	RGEN	xs:token																			
	Fields to put in sections	RKAN	xs:token																			
	Fields to put in sections	RMEM	xs:token																			
	Fields to put in sections	RNAL	xs:token																			
	Fields to put in sections	RSSS	xs:token																			
	Fields to put in sections	RSTR	xs:token																			
	Fields to put in sections	RSXT	xs:token																			
	Fields to put in sections	RTET	xs:token																			
	Fields to put in sections	RTIO	xs:token																			
	Fields to put in sections	A2C	xs:token																			
	Fields to put in sections	CAMC	xs:token																			
	Fields to put in sections	CAMK	xs:token																			
	Fields to put in sections	CAMP	xs:token																			
	Fields to put in sections	CAZM	xs:token																			
	Fields to put in sections	CCEP	xs:token																			
	Fields to put in sections	CCHL	xs:token																			
	Fields to put in sections	CCIP	xs:token																			
	Fields to put in sections	CCRO	xs:token																			
	Fields to put in sections	CFOX	xs:token																			
	Fields to put in sections	CGEN	xs:token																			
	Fields to put in sections	CKAN	xs:token																			
	Fields to put in sections	CMEM	xs:token																			
	Fields to put in sections	CNAL	xs:token																			
	Fields to put in sections	CSSS	xs:token																			
	Fields to put in sections	CSTR	xs:token																			
	Fields to put in sections	CSXT	xs:token																			
	Fields to put in sections	CTET	xs:token																			
	Fields to put in sections	CTIO	xs:token																			
	Fields to put in sections	STHY_TESTSRC_ID	xs:token																			
	Fields to put in sections	WINN_TESTSRC_ID	xs:token																			
	Fields to put in sections	GUEL_TESTSRC_ID	xs:token																			
	Fields to put in sections	RCIP_DANMAP	xs:token																			
	Fields to put in sections	EPIDATESTAMP_1	xs:token																			
	Fields to put in sections	ACSSUT	xs:token																			
	Fields to put in sections	AKSSUT	xs:token																			
	Fields to put in sections	ACKSSUT	xs:token																			
	Fields to put in sections	MDR_A_SSUT	xs:token																			
	Fields to put in sections	EXCLUSION	xs:token																			
	Fields to put in sections	RAMINOGLY	xs:token																			
	Fields to put in sections	RBETALACTAM	xs:token																			
	Fields to put in sections	RQUINOLONES	xs:token																			
	Fields to put in sections	RFOLINHIBITOR	xs:token																			
	Fields to put in sections	MDR	xs:token																			
	Fields to put in sections	specimen_number	xs:token																			
	Fields to put in sections	EXTERNAL_AGENT	xs:token																			
	Fields to put in sections	FARM_FLAG	xs:token																			
	Fields to put in sections	AMIKACINGELET	xs:token																			
																						
	SUBJECT_DESCRIPTIONS	1/2 breast																			food product	
	SUBJECT_DESCRIPTIONS	Avian Ingredients																			food product	
	SUBJECT_DESCRIPTIONS	Back																			food product	
	SUBJECT_DESCRIPTIONS	Balut																			food product	
	SUBJECT_DESCRIPTIONS	Black Pepper																			food product	
	SUBJECT_DESCRIPTIONS	Blade Steak																			food product	
	SUBJECT_DESCRIPTIONS	Blood Meal																			food product	
	SUBJECT_DESCRIPTIONS	Bone Meal																			food product	
	SUBJECT_DESCRIPTIONS	Bovine Ingredients																			food product	
	SUBJECT_DESCRIPTIONS	Breast																			food product	
	SUBJECT_DESCRIPTIONS	Breast back off																			food product	
	SUBJECT_DESCRIPTIONS	Breast cutlets																			food product	
	SUBJECT_DESCRIPTIONS	Breast Skinless																			food product	
	SUBJECT_DESCRIPTIONS	Breast Skinless Boneless																			food product	
	SUBJECT_DESCRIPTIONS	Breast with Skin																			food product	
	SUBJECT_DESCRIPTIONS	Brisket																			food product	
	SUBJECT_DESCRIPTIONS	Burger																			food product	
	SUBJECT_DESCRIPTIONS	Calf																			host (common name)	
	SUBJECT_DESCRIPTIONS	Canola Meal																			food product	
	SUBJECT_DESCRIPTIONS	Carinata Meal																			food product	
	SUBJECT_DESCRIPTIONS	Chop																			food product	
	SUBJECT_DESCRIPTIONS	Chops																			food product	
	SUBJECT_DESCRIPTIONS	coli																				
	SUBJECT_DESCRIPTIONS	Complete Feed																			food product	
	SUBJECT_DESCRIPTIONS	Corn																			food product	
	SUBJECT_DESCRIPTIONS	Cow																			host (common name)	
	SUBJECT_DESCRIPTIONS	Cubes																			food product	
	SUBJECT_DESCRIPTIONS	Cutlet																			food product	
	SUBJECT_DESCRIPTIONS	Drumstick																			food product	
	SUBJECT_DESCRIPTIONS	Drumstick Skinless																			food product	
	SUBJECT_DESCRIPTIONS	Drumstick with Skin																			food product	
	SUBJECT_DESCRIPTIONS	Drumsticks																			food product	
	SUBJECT_DESCRIPTIONS	Egg Flour																			food product	
	SUBJECT_DESCRIPTIONS	Feather Meal																			food product	
	SUBJECT_DESCRIPTIONS	Feed																			food product	
	SUBJECT_DESCRIPTIONS	Filet																			food product	
	SUBJECT_DESCRIPTIONS	Fish Ingredients																			food product	
	SUBJECT_DESCRIPTIONS	Fish Meal																			food product	
	SUBJECT_DESCRIPTIONS	Grain																			food product	
	SUBJECT_DESCRIPTIONS	Ground																			food product	
	SUBJECT_DESCRIPTIONS	Ground ( lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Angus)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Extra Lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (extra-lan)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Extra-Lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Medium)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Regular)																			food product	
	SUBJECT_DESCRIPTIONS	Ground (Sirloin)																			food product	
	SUBJECT_DESCRIPTIONS	Ground Boneless																			food product	
	SUBJECT_DESCRIPTIONS	Ground extra lean																			food product	
	SUBJECT_DESCRIPTIONS	Ground regular																			food product	
	SUBJECT_DESCRIPTIONS	ground( extra lean)																			food product	
	SUBJECT_DESCRIPTIONS	ground( medium)																			food product	
	SUBJECT_DESCRIPTIONS	Ground(Extra lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground(Lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground(medium)																			food product	
	SUBJECT_DESCRIPTIONS	ground(regular)																			food product	
	SUBJECT_DESCRIPTIONS	Groundextra lean)																			food product	
	SUBJECT_DESCRIPTIONS	Ground-Lean																			food product	
	SUBJECT_DESCRIPTIONS	Ground-Regular																			food product	
	SUBJECT_DESCRIPTIONS	Heifer																			host (common name)	
	SUBJECT_DESCRIPTIONS	Hummus																			food product	
	SUBJECT_DESCRIPTIONS	In-Shell																			food product	
	SUBJECT_DESCRIPTIONS	Lay Ration																			food product	
	SUBJECT_DESCRIPTIONS	Leg																			food product	
	SUBJECT_DESCRIPTIONS	Leg with Skin-Drumstick and Thigh																			food product	
	SUBJECT_DESCRIPTIONS	Liver																			food product	
	SUBJECT_DESCRIPTIONS	Loin Center Chop																			food product	
	SUBJECT_DESCRIPTIONS	Meat and Bone Meal																			food product	
	SUBJECT_DESCRIPTIONS	Meat Flour/Meal																			food product	
	SUBJECT_DESCRIPTIONS	Meat Meal																			food product	
	SUBJECT_DESCRIPTIONS	Mild italian style burger																			food product	
	SUBJECT_DESCRIPTIONS	Necks																			food product	
	SUBJECT_DESCRIPTIONS	Nuggets																			food product	
	SUBJECT_DESCRIPTIONS	Other																			host (common name)	
	SUBJECT_DESCRIPTIONS	Other cut																			food product	
	SUBJECT_DESCRIPTIONS	Other Cut (Not Ground)																			food product	
	SUBJECT_DESCRIPTIONS	Other Cut Boneless																			food product	
	SUBJECT_DESCRIPTIONS	Other Cut Boneless (Not Ground)																			food product	
	SUBJECT_DESCRIPTIONS	Ovine Ingredients																			food product	
	SUBJECT_DESCRIPTIONS	Pet Food																			food product	
	SUBJECT_DESCRIPTIONS	Porcine Ingredients																			food product	
	SUBJECT_DESCRIPTIONS	Pork Chop (Cut Unknown)																			food product	
	SUBJECT_DESCRIPTIONS	Premix																			food product	
	SUBJECT_DESCRIPTIONS	Premix (Medicated)																			food product	
	SUBJECT_DESCRIPTIONS	Processed (Other)																			food product	
	SUBJECT_DESCRIPTIONS	Raw																			food product	
	SUBJECT_DESCRIPTIONS	Rib Chop																			food product	
	SUBJECT_DESCRIPTIONS	Ribs																			food product	
	SUBJECT_DESCRIPTIONS	Roast																			food product	
	SUBJECT_DESCRIPTIONS	Salami																			food product	
	SUBJECT_DESCRIPTIONS	Sausage																			food product	
	SUBJECT_DESCRIPTIONS	Sausage (Pepper)																			food product	
	SUBJECT_DESCRIPTIONS	Scallopini																			food product	
	SUBJECT_DESCRIPTIONS	Shell on																			food product	
	SUBJECT_DESCRIPTIONS	Shelled																			food product	
	SUBJECT_DESCRIPTIONS	Shoulder																			food product	
	SUBJECT_DESCRIPTIONS	Shoulder Chop																			food product	
	SUBJECT_DESCRIPTIONS	Sirloin Chop																			food product	
	SUBJECT_DESCRIPTIONS	Skim milk powder																			food product	
	SUBJECT_DESCRIPTIONS	Soft																			food product	
	SUBJECT_DESCRIPTIONS	Soyabean Meal																			food product	
	SUBJECT_DESCRIPTIONS	Starter Ration																			food product	
	SUBJECT_DESCRIPTIONS	Steak																			food product	
	SUBJECT_DESCRIPTIONS	Stew Chunks																			food product	
	SUBJECT_DESCRIPTIONS																					
	SUBJECT_DESCRIPTIONS	Supplements																			food product	
	SUBJECT_DESCRIPTIONS	T. high																			food product	
	SUBJECT_DESCRIPTIONS	Tahini																			food product	
	SUBJECT_DESCRIPTIONS	Tender loin																			food product	
	SUBJECT_DESCRIPTIONS	Tenderloin																			food product	
	SUBJECT_DESCRIPTIONS	Thigh																			food product	
	SUBJECT_DESCRIPTIONS	Thigh Skinless																			food product	
	SUBJECT_DESCRIPTIONS	Thigh Skinless Boneless																			food product	
	SUBJECT_DESCRIPTIONS	Thigh with Skin																			food product	
	SUBJECT_DESCRIPTIONS	Trim																			food product	
	SUBJECT_DESCRIPTIONS	Unknown Meal																			food product	
	SUBJECT_DESCRIPTIONS	Unspecified Feed/Ingredient																			food product	
	SUBJECT_DESCRIPTIONS	Upper Thigh																			food product	
	SUBJECT_DESCRIPTIONS	Upper Thigh with Skin																			food product	
	SUBJECT_DESCRIPTIONS	upper thight																			food product	
	SUBJECT_DESCRIPTIONS	Upperthigh																			food product	
	SUBJECT_DESCRIPTIONS	White Pepper																			food product	
	SUBJECT_DESCRIPTIONS	Whole																			food product	
	SUBJECT_DESCRIPTIONS	Whole Carcass																			food product	
	SUBJECT_DESCRIPTIONS	Whole with Skin																			food product	
	SUBJECT_DESCRIPTIONS	Wing																			food product	
	SUBJECT_DESCRIPTIONS	Wings																			food product	
	SPECIES	2																				
	SPECIES	4																				
	SPECIES	<=8																				
	SPECIES	<n/a>																				
	SPECIES	Abalone																			host (common name)	
	SPECIES	Alfalfa sprouts																			food product	
	SPECIES	Alpaca																			host (common name)	
	SPECIES	Amphibian																			host (common name)	
	SPECIES	Apple																			food product	
	SPECIES	Aquatic mammal																			host (common name)	
	SPECIES	Armadillo																			host (common name)	
	SPECIES	Avian																			host (common name)	
	SPECIES	Basil																			food product	
	SPECIES	Bat																			host (common name)	
	SPECIES	Bear																			host (common name)	
	SPECIES	Bearded Dragon																			host (common name)	
	SPECIES	Bison																			host (common name)	
	SPECIES	Budgie																			host (common name)	
	SPECIES	Camel																			host (common name)	
	SPECIES	Camelid																			host (common name)	
	SPECIES	Canary																			host (common name)	
	SPECIES	Canine																			host (common name)	
	SPECIES	Cantelope																			food product	
	SPECIES	Caprine																			host (common name)	
	SPECIES	Cardemom																			food product	
	SPECIES	Cardinal																			host (common name)	
	SPECIES	Cervid																			host (common name)	
	SPECIES	Chameleon																			host (common name)	
	SPECIES	Cheetah																			host (common name)	
	SPECIES	Chicken																			host (common name)	
	SPECIES	Chimpanzee																			host (common name)	
	SPECIES	Chinchilla																			host (common name)	
	SPECIES	Chinese Water Dragon																			host (common name)	
	SPECIES	Clam																			host (common name)	
	SPECIES	Coriander																			food product	
	SPECIES	Cormorant																			host (common name)	
	SPECIES	Cougar/Mountain Lion																			host (common name)	
	SPECIES	Coyote																			host (common name)	
	SPECIES	Crab																			host (common name)	
	SPECIES	Crane																			host (common name)	
	SPECIES	Crow																			host (common name)	
	SPECIES	Cumin seeds																			food product	
	SPECIES	Cuttlefish																			host (common name)	
	SPECIES	Dog																			host (common name)	
	SPECIES	Dolphin																			host (common name)	
	SPECIES	Domestic Cat																			host (common name)	
	SPECIES	Domestic Cattle																			host (common name)	
	SPECIES	Duck																			host (common name)	
	SPECIES	Dumpster																			environmental site	
	SPECIES	Eagle																			host (common name)	
	SPECIES	Eel																			host (common name)	
	SPECIES	Elephant																			host (common name)	
	SPECIES	Falcon																			host (common name)	
	SPECIES	Feline																			host (common name)	
	SPECIES	Ferret																			host (common name)	
	SPECIES	Finch																			host (common name)	
	SPECIES	Fish																			host (common name)	
	SPECIES	Flamingo																			host (common name)	
	SPECIES	For Unspecified																			host (common name)	
	SPECIES	Fox																			host (common name)	
	SPECIES	Gecko																			host (common name)	
	SPECIES	Goat																			host (common name)	
	SPECIES	Goat and Sheep																			host (common name)	
	SPECIES	Goose																			host (common name)	
	SPECIES	Grape																			host (common name)	
	SPECIES	Green onions																			food product	
	SPECIES	Grosbeak																			host (common name)	
	SPECIES	ground pepper																			food product	
	SPECIES	Gull																			host (common name)	
	SPECIES	Hare																			host (common name)	
	SPECIES	Hazelnut																			food product	
	SPECIES	Hedgehog																			host (common name)	
	SPECIES	Herb/spice (unspecified)																			food product	
	SPECIES	Heron																			host (common name)	
	SPECIES	Hippopotamidae																			host (common name)	
	SPECIES	Horse																			host (common name)	
	SPECIES	Iguana																			host (common name)	
	SPECIES	Jaguar																			host (common name)	
	SPECIES	Kangaroo																			host (common name)	
	SPECIES	Komodo Dragon																			host (common name)	
	SPECIES	Lapine																			host (common name)	
	SPECIES	Lettuce																			food product	
	SPECIES	Lion																			host (common name)	
	SPECIES	Lizard																			host (common name)	
	SPECIES	Marsupial																			host (common name)	
	SPECIES	Mink																			host (common name)	
	SPECIES	Mint																			food product	
	SPECIES	Mixed																			host (common name)	
	SPECIES	Mongoose																			host (common name)	
	SPECIES	Mouse																			host (common name)	
	SPECIES	Mushrooms																			food product	
	SPECIES	Mussel																			host (common name)	
	SPECIES	n/a																			host (common name)	
	SPECIES	Not Available																			host (common name)	
	SPECIES	Octopus																			host (common name)	
	SPECIES	Opossum																			host (common name)	
	SPECIES	Oregano																			food product	
	SPECIES	Other																			host (common name)	
	SPECIES	Otter																			host (common name)	
	SPECIES	Ovine																			host (common name)	
	SPECIES	Owl																			host (common name)	
	SPECIES	Oyster																			host (common name)	
	SPECIES	Parrot																			host (common name)	
	SPECIES	Parsley																			food product	
	SPECIES	Partridge																			host (common name)	
	SPECIES	Pea sprouts																			food product	
	SPECIES	Peanut Butter																			food product	
	SPECIES	Pepper																			food product	
	SPECIES	Perdrix																			host (common name)	
	SPECIES	Pheasant																			host (common name)	
	SPECIES	Pickerel																			host (common name)	
	SPECIES	Pig																			host (common name)	
	SPECIES	Pigeon																			host (common name)	
	SPECIES	Pine Siskin																			host (common name)	
	SPECIES	Pony																			host (common name)	
	SPECIES	Porcupine																			host (common name)	
	SPECIES	Porpoise																			host (common name)	
	SPECIES	Primate																			host (common name)	
	SPECIES	Quail																			host (common name)	
	SPECIES	Rabbit																			host (common name)	
	SPECIES	Raccoon																			host (common name)	
	SPECIES	Rat																			host (common name)	
	SPECIES	Ratite																			host (common name)	
	SPECIES	Raven																			host (common name)	
	SPECIES	Red Deer																			host (common name)	
	SPECIES	Redpoll																			host (common name)	
	SPECIES	Reptile																			host (common name)	
	SPECIES	Rhea																			host (common name)	
	SPECIES	Robin																			host (common name)	
	SPECIES	Rodent																			host (common name)	
	SPECIES	Sage																			food product	
	SPECIES	Salmon																			host (common name)	
	SPECIES	Scallop																			host (common name)	
	SPECIES	Sea Otter																			host (common name)	
	SPECIES	Sea Snail																			host (common name)	
	SPECIES	Seal																			host (common name)	
	SPECIES	Sesame Seed																			food product	
	SPECIES	Sheep																			host (common name)	
	SPECIES	Shrimp																			host (common name)	
	SPECIES	Skink																			host (common name)	
	SPECIES	Skunk																			host (common name)	
	SPECIES	Snake																			host (common name)	
	SPECIES	Sparrow																			host (common name)	
	SPECIES	Spinach																			food product	
	SPECIES	Spotted Hyena																			host (common name)	
	SPECIES	Sprouts																			food product	
	SPECIES	Squid																			host (common name)	
	SPECIES	Squirrel																			host (common name)	
	SPECIES	Stripped Hyena																			host (common name)	
	SPECIES	Swan																			host (common name)	
	SPECIES	Tantalus Monkey																			host (common name)	
	SPECIES	Tilapia																			host (common name)	
	SPECIES	Tomato																			food product	
	SPECIES	Tortoise																			host (common name)	
	SPECIES	Trout																			host (common name)	
	SPECIES	Turkey																			host (common name)	
	SPECIES	Turtle																			host (common name)	
	SPECIES	Unknown																			host (common name)	
	SPECIES	Unspecified Bird																			host (common name)	
	SPECIES	Unspecified Fish																			host (common name)	
	SPECIES	Unspecified Primate																			host (common name)	
	SPECIES	Unspecified Reptile																			host (common name)	
	SPECIES	Unspecified Rodent																			host (common name)	
	SPECIES	Vulture																			host (common name)	
	SPECIES	Wallnut																			food product	
	SPECIES	Water Dragon																			host (common name)	
	SPECIES	White Fish																			host (common name)	
	SPECIES	Wild Ruminant																			host (common name)	
	SPECIES	Wombat																			host (common name)	
	SPECIES	Woodpecker																			host (common name)	
	SPECIES	Zebra																			host (common name)	
	STTYPE	0																				
	STTYPE	0.5																				
	STTYPE	ANIMAL																			host (common name)	
	STTYPE	ENVIRONMENT																			environmental site/material	
	STTYPE	FOOD																			food product	
	STTYPE	HUMAN																			host (common name)	
	STTYPE	PRODUCT																				
	STTYPE	QA																				
	STTYPE	UNKNOWN																			host (common name)	
	STYPE	0																				
	STYPE	2																				
	STYPE	<=8																				
	STYPE	<n/a>																				
	STYPE	Amphibian																			host (common name)	
	STYPE	Aquatic Mammal																			host (common name)	
	STYPE	Armadillo																			host (common name)	
	STYPE	Avian																			host (common name)	
	STYPE	Bat																			host (common name)	
	STYPE	Biosolids																			environmental material	
	STYPE	Bovine																			host (common name)	
	STYPE	Building																			environmental site	
	STYPE	Camelid																			host (common name)	
	STYPE	Canine																			host (common name)	
	STYPE	Caprine																			host (common name)	
	STYPE	Caprine and Ovine																			host (common name)	
	STYPE	Cereal																			food product	
	STYPE	Cereal/Bread/Snack																			food product	
	STYPE	Cervid																			host (common name)	
	STYPE	Compost																			environmental material	
	STYPE	Confections/Nuts/Condiments																			food product	
	STYPE	Crocuta																			host (common name)	
	STYPE	Crustacean																			host (common name)	
	STYPE	Dairy																			environmental site	
	STYPE	Dust																			environmental material	
	STYPE	Egg																			food product	
	STYPE	Elephant																			host (common name)	
	STYPE	Equine																			host (common name)	
	STYPE	Equipment																			environmental site	
	STYPE	ERROR																			?	
	STYPE	Feed and Ingredients																			food product	
	STYPE	Feline																			host (common name)	
	STYPE	Ferret																			host (common name)	
	STYPE	Fertilizer																			environmental material	
	STYPE	Fish																			host (common name)	
	STYPE	Food																			food product	
	STYPE	Fruit																			food product	
	STYPE	Fruits and Vegetables																			food product	
	STYPE	Health (medicine)																			?	
	STYPE	Herbs and Spices																			food product	
	STYPE	Herpestidae																			host (common name)	
	STYPE	Hippopotamidae																			host (common name)	
	STYPE	Lapine																			host (common name)	
	STYPE	Litter/Manure																			environmental material	
	STYPE	Manure																			environmental material	
	STYPE	Marsupial																			host (common name)	
	STYPE	Meat																			food product	
	STYPE	Mephitida																			host (common name)	
	STYPE	Mink																			host (common name)	
	STYPE	Mixed food																			food product	
	STYPE	Mixed Food/Meat																			food product	
	STYPE	Mollusk																			host (common name)	
	STYPE	Mustelid																			host (common name)	
	STYPE	n/a																			host (common name)	
	STYPE	Other																			host (common name)	
	STYPE	Ovine																			host (common name)	
	STYPE	Personnel Clothing																			environmental material	
	STYPE	Porcine																			host (common name)	
	STYPE	Primate																			host (common name)	
	STYPE	Raccoon																			host (common name)	
	STYPE	Reptile																			host (common name)	
	STYPE	Rodent																			host (common name)	
	STYPE	Sewage																			environmental material	
	STYPE	Soil																			environmental material	
	STYPE	Transportation Supplies																			environmental site	
	STYPE	Transportation Vehicles																			environmental site	
	STYPE	Turkey																			host (common name)	
	STYPE	Unknown																			host (common name)	
	STYPE	Unknown Food																			food product	
	STYPE	Unspecified																				
	STYPE	Unspecified Animal																			host (common name)	
	STYPE	Unspecified Environmental																			environmental site	
	STYPE	Unspecified Food																			food product	
	STYPE	Unspecified Product																				
	STYPE	Ursine																			host (common name)	
	STYPE	Vegetable/Spice																			food product	
	STYPE	Water																			environmental material	
	COMMODITY	<=16																				
	COMMODITY	Beef																			food product	
	COMMODITY	Broiler																			host (common name)	
	COMMODITY	Dairy																			environmental site	
	COMMODITY	Domestic/Farmed																			?	
	COMMODITY	Egg																			food product	
	COMMODITY	Laboratory																			environmental site	
	COMMODITY	Meat																			food product	
	COMMODITY	Mutton																			food product	
	COMMODITY	Pet																			host (common name)	
	COMMODITY	Pet/Zoo																			environmental site	
	COMMODITY	Red Veal																			food product	
	COMMODITY	Unknown																			host (common name)	
	COMMODITY	Veal																			food product	
	COMMODITY	White Veal																			food product	
	COMMODITY	Wild																				
	SPECIMENSOURCE_1	2																				
	SPECIMENSOURCE_1	<=32																				
	SPECIMENSOURCE_1	Aliquote / Portion																			?	
	SPECIMENSOURCE_1	Blood																			anatomical material	
	SPECIMENSOURCE_1	Blood Meal																			food product	
	SPECIMENSOURCE_1	Body Fluid/Excretion																			anatomical material	
	SPECIMENSOURCE_1	Carcass																			anatomical part	
	SPECIMENSOURCE_1	Check Sample																			?	
	SPECIMENSOURCE_1	Contact plate																			collection device	
	SPECIMENSOURCE_1	Culture																			?	
	SPECIMENSOURCE_1	Dust																			environmental material	
	SPECIMENSOURCE_1	Egg																			food product	
	SPECIMENSOURCE_1	Environment (Animal)																			?	
	SPECIMENSOURCE_1	Environmental																			environmental material/site	
