title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GISAID	EXPORT_NCBI_SRA	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal													
		GAZ:00002928	Argentina [GAZ:00002928]					A South American country, constituted as a federation of twenty-three provinces and an autonomous city. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. The country claims the British controlled territories of the Falkland Islands and South Georgia and the South Sandwich Islands. Argentina also claims 969,464 km2 of Antarctica, known as Argentine Antarctica, overlapping other claims made by Chile and the United Kingdom. Argentina is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one federal district (Capital de la Republica or Capital de la Nacion, informally the Capital Federal). The federal district and the provinces have their own constitutions, but exist under a federal system. Provinces are then divided into departments (Spanish: departamentos, singular departamento), except for Buenos Aires Province, which is divided into partidos. [ url:http://en.wikipedia.org/wiki/Argentina ]																		
		GAZ:00004094	Armenia [GAZ:00004094]					A landlocked mountainous country in Eurasia between the Black Sea and the Caspian Sea in the Southern Caucasus. It borders Turkey to the west, Georgia to the north, Azerbaijan to the east, and Iran and the Nakhchivan exclave of Azerbaijan to the south. A transcontinental country at the juncture of Eastern Europe and Western Asia. A former republic of the Soviet Union. Armenia is divided into ten marzes (provinces, singular marz), with the city (kaghak) of Yerevan having special administrative status as the country's capital. [ url:http://en.wikipedia.org/wiki/Armenia ]																		
		GAZ:00004025	Aruba [GAZ:00004025]					An autonomous region within the Kingdom of the Netherlands, Aruba has no administrative subdivisions. [ url:http://en.wikipedia.org/wiki/Aruba ]																		
		GAZ:00005901	Ashmore and Cartier Islands [GAZ:00005901]					A Territory of Australia that includes two groups of small low-lying uninhabited tropical islands in the Indian Ocean situated on the edge of the continental shelf north-west of Australia and south of the Indonesian island of Roti. [ url:http://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands ]																		
		GAZ:00000463	Australia [GAZ:00000463]					A country in the southern hemisphere comprising the mainland of the world's smallest continent, the major island of Tasmania, and a number of other islands in the Indian and Pacific Oceans. The neighbouring countries are Indonesia, East Timor, and Papua New Guinea to the north, the Solomon Islands, Vanuatu, and New Caledonia to the north-east, and New Zealand to the south-east. Australia has six states, two major mainland territories, and other minor territories.																		
		GAZ:00002942	Austria [GAZ:00002942]					A landlocked country in Central Europe. It borders both Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The capital is the city of Vienna on the Danube River. Austria is divided into nine states (Bundeslander). These states are then divided into districts (Bezirke) and cities (Statutarstadte). Districts are subdivided into municipalities (Gemeinden). Cities have the competencies otherwise granted to both districts and municipalities.																		
		GAZ:00004941	Azerbaijan [GAZ:00004941]					A country in the he South Caucasus region of Eurasia, it is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west, and Iran to the south. The Azerbaijani exclave of Nakhchivan is bordered by Armenia to the north and east, Iran to the south and west, and Turkey to the northwest. Nagorno-Karabakh, along with 7 other districts in Azerbaijan's southwest, have been controlled by Armenia since the end of the Nagorno-Karabakh War in 1994. Azerbaijan is divided into 59 rayons 11 city districts (saharlar), and one autonomous republic (muxtar respublika).																		
		GAZ:00002733	Bahamas [GAZ:00002733]					A country consisting of two thousand cays and seven hundred islands that form an archipelago. It is located in the Atlantic Ocean, southeast of Florida and the United States, north of Cuba, the island of Hispanola and the Caribbean, and northwest of the British overseas territory of the Turks and Caicos Islands. It is divided into 32 districts, plus New Providence, whose affairs are handled directly by the central government.																		
		GAZ:00005281	Bahrain [GAZ:00005281]					A borderless island country in the Persian Gulf. Saudi Arabia lies to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Gulf of Bahrain. Bahrain is split into five governorates.																		
		GAZ:00007117	Baker Island [GAZ:00007117]					An uninhabited atoll located just north of the equator in the central Pacific Ocean about 3,100 km southwest of Honolulu. Baker Island is an unincorporated and unorganized territory of the US.																		
		GAZ:00003750	Bangladesh [GAZ:00003750]					A country in South Asia. It is bordered by India on all sides except for a small border with Myanmar to the far southeast and by the Bay of Bengal to the south. Bangladesh is divided into six administrative divisions. Divisions are subdivided into districts (zila). There are 64 districts in Bangladesh, each further subdivided into upazila (subdistricts) or thana ("police stations").																		
		GAZ:00001251	Barbados [GAZ:00001251]					An island country in the Lesser Antilles of the West Indies, in the Caribbean region of the Americas, and the most easterly of the Caribbean Islands. It is 34 kilometres (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (167 sq mi). It is in the western part of the North Atlantic, 100 km (62 mi) east of the Windward Islands and the Caribbean Sea.[7] Barbados is east of the Windwards, part of the Lesser Antilles, at roughly 13°N of the equator. It is about 168 km (104 mi) east of both the countries of Saint Lucia and Saint Vincent and the Grenadines and 180 km (110 mi) south-east of Martinique and 400 km (250 mi) north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Its capital and largest city is Bridgetown.																		
		GAZ:00005810	Bassas da India [GAZ:00005810]					A roughly circular atoll about 10 km in diameter, which corresponds to a total size (including lagoon) of 80 km2. It is located in the southern Mozambique Channel, about half-way between Madagascar (which is 385 km to the east) and Mozambique, and 110 km northwest of Europa Island. It rises steeply from the seabed 3000 m below.																		
		GAZ:00006886	Belarus [GAZ:00006886]					A landlocked country in Eastern Europe, that borders Russia to the north and east, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the north. Its capital is Minsk. Belarus is divided into six voblasts, or provinces. Voblasts are further subdivided into raions (commonly translated as districts or regions). As of 2002, there are six voblasts, 118 raions, 102 towns and 108 urbanized settlements. Minsk is given a special status, due to the city serving as the national capital.																		
		GAZ:00002938	Belgium [GAZ:00002938]					A country in northwest Europe. Belgium shares borders with France (620 km), Germany (167 km), Luxembourg (148 km) and the Netherlands (450 km). The Flemish Region (Flanders) and the Walloon Region (Wallonia) each comprise five provinces; the third region, Brussels-Capital Region, is not a province, nor does it contain any Together, these comprise 589 municipalities, which in general consist of several sub-municipalities (which were independent municipalities before the municipal merger operation mainly in 1977).																		
		GAZ:00002934	Belize [GAZ:00002934]					A country in Central America. It is the only officially English speaking country in the region. Belize was a British colony for more than a century and was known as British Honduras until 1973. It became an independent nation within The Commonwealth in 1981. Belize is divided into 6 districts, which are further divided into 31 constituencies.																		
		GAZ:00000904	Benin [GAZ:00000904]					A country in Western Africa. It borders Togo to the west, Nigeria to the east and Burkina Faso and Niger to the north; its short coastline to the south leads to the Bight of Benin. Its capital is Porto Novo, but the seat of government is Cotonou. Benin is divided into 12 departments and subdivided into 77 communes.																		
		GAZ:00001264	Bermuda [GAZ:00001264]					A British overseas territory in the North Atlantic Ocean. Located off the east coast of the United States, it is situated around 1770 km NE of Miami, Florida and 1350 km S of Halifax, Nova Scotia. Comprised of approximately 138 islands.																		
		GAZ:00003920	Bhutan [GAZ:00003920]					A landlocked nation in South Asia. It is located amidst the eastern end of the Himalaya Mountains and is bordered to the south, east and west by India and to the north by Tibet. Bhutan is separated from Nepal by the Indian State of Sikkim. Bhutan is divided into four dzongdey (administrative zones). Each dzongdey is further divided into dzongkhag (districts). There are twenty dzongkhag in Bhutan. Large dzongkhags are further divided into subdistricts known as dungkhag. At the basic level, groups of villages form a constituency called gewog.																		
		GAZ:00002511	Bolivia [GAZ:00002511]					A landlocked country in central South America. It is bordered by Brazil on the north and east, Paraguay and Argentina on the south, and Chile and Peru on the west. Bolivia is divided into 9 departments (Spanish: departamentos). Each of the departments is subdivided into provinces (provincias), which are further subdivided into municipalities (municipios).																		
		GAZ:00025355	Borneo [GAZ:00025355]					An island at the grographic centre of Maritime Southeast Adia, in relation to major Indonesian islands, it is located north of Java, west of Sulawesi, and east of Sumatra. It is the third-largest island in the world and the larest in Asia. The island is politically divided among three countries: Malaysia and Brunei in the north, and Indonesia to the south.[1] Approximately 73% of the island is Indonesian territory. In the north, the East Malaysian states of Sabah and Sarawak make up about 26% of the island. Additionally, the Malaysian federal territory of Labuan is situated on a small island just off the coast of Borneo. The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land area. A little more than half of the island is in the Northern Hemisphere, including Brunei and the Malaysian portion, while the Indonesian portion spans the Northern and Southern hemispheres.																		
		GAZ:00006887	Bosnia and Herzegovina [GAZ:00006887]					A country on the Balkan peninsula of Southern Europe. Bordered by Croatia to the north, west and south, Serbia to the east, and Montenegro to the south, Bosnia and Herzegovina is mostly landlocked, except for 26 km of the Adriatic Sea coastline. Bosnia and Herzegovina is now divided into three political regions of which one, the Brcko District is part of the other two, the Federacija Bosne i Hercegovine and the Republika Srpska. All three have an equal constitutional status on the whole territory of Bosnia and Herzegovina.																		
		GAZ:00001097	Botswana [GAZ:00001097]					A landlocked nation in Southern Africa. It is bordered by South Africa to the south and southeast, Namibia to the west, Zambia to the north, and Zimbabwe to the northeast. Botswana is divided into nine districts, which are subdivided into a total twenty-eight subdistricts.																		
		GAZ:00001453	Bouvet Island [GAZ:00001453]					A sub-antarctic volcanic island in the South Atlantic Ocean, south-southwest of the Cape of Good Hope (South Africa). It is a dependent area of Norway and is not subject to the Antarctic Treaty, as it is north of the latitude south of which claims are suspended.																		
		GAZ:00002828	Brazil [GAZ:00002828]					A country in South America. Bordered by the Atlantic Ocean and by Venezuela, Suriname, Guyana and the department of French Guiana to the north, Colombia to the northwest, Bolivia and Peru to the west, Argentina and Paraguay to the southwest, and Uruguay to the south. Federation of twenty-six states (estados) and one federal district (Distrito Federal). The states are subdivided into municipalities. For statistical purposes, the States are grouped into five main regions: North, Northeast, Central-West, Southeast and South.																		
		GAZ:00003961	British Virgin Islands [GAZ:00003961]					A British overseas territory, located in the Caribbean to the east of Puerto Rico. The islands make up part of the Virgin Islands archipelago, the remaining islands constituting the US Virgin Islands. The British Virgin Islands consist of the main islands of Tortola, Virgin Gorda, Anegada and Jost Van Dyke, along with over fifty other smaller islands and cays. Approximately fifteen of the islands are inhabited.																		
		GAZ:00003901	Brunei [GAZ:00003901]					A country located on the north coast of the island of Borneo, in Southeast Asia. Apart from its coastline with the South China Sea it is completely surrounded by the State of Sarawak, Malaysia, and in fact it is separated into two parts by Limbang, which is part of Sarawak. Brunei is divided into four districts (daerah), the districts are subdivided into thirty-eight mukims, which are then divided into kampong (villages).																		
		GAZ:00002950	Bulgaria [GAZ:00002950]					A country in Southeastern Europe, borders five other countries; Romania to the north (mostly along the Danube), Serbia and the Republic of Macedonia to the west, and Greece and Turkey to the south. The Black Sea defines the extent of the country to the east. Since 1999, it has consisted of twenty-eight provinces. The provinces subdivide into 264 municipalities.																		
		GAZ:00000905	Burkina Faso [GAZ:00000905]					A landlocked nation in West Africa. It is surrounded by six countries: Mali to the north, Niger to the east, Benin to the south east, Togo and Ghana to the south, and Cote d'Ivoire to the south west. Burkina Faso is divided into thirteen regions, forty-five provinces, and 301 departments (communes).																		
		GAZ:00001090	Burundi [GAZ:00001090]					A small country in the Great Lakes region of Africa. It is bordered by Rwanda on the north, Tanzania on the south and east, and the Democratic Republic of the Congo on the west. Although the country is landlocked, much of its western border is adjacent to Lake Tanganyika. Burundi is divided into 17 provinces, 117 communes, and 2,638 collines.																		
		GAZ:00006888	Cambodia [GAZ:00006888]					A country in Southeast Asia. The country borders Thailand to its west and northwest, Laos to its northeast, and Vietnam to its east and southeast. In the south it faces the Gulf of Thailand.																		
		GAZ:00001093	Cameroon [GAZ:00001093]					A country of central and western Africa. It borders Nigeria to the west; Chad to the northeast; the Central African Republic to the east; and Equatorial Guinea, Gabon, and the Republic of the Congo to the south. Cameroon's coastline lies on the Bight of Bonny, part of the Gulf of Guinea and the Atlantic Ocean. The Republic of Cameroon is divided into ten provinces and 58 divisions or departments. The divisions are further sub-divided into sub-divisions (arrondissements) and districts.																		
		GAZ:00002560	Canada [GAZ:00002560]					A country occupying most of northern North America, extending from the Atlantic Ocean in the east to the Pacific Ocean in the west and northward into the Arctic Ocean. Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into regions. Western Canada consists of British Columbia and the three Prairie provinces (Alberta, Saskatchewan, and Manitoba). Central Canada consists of Quebec and Ontario. Atlantic Canada consists of the three Maritime provinces (New Brunswick, Prince Edward Island, and Nova Scotia), along with Newfoundland and Labrador. Eastern Canada refers to Central Canada and Atlantic Canada together. Three territories (Yukon, Northwest Territories, and Nunavut) make up Northern Canada.																		
		GAZ:00001227	Cape Verde [GAZ:00001227]					A republic located on an archipelago in the Macaronesia ecoregion of the North Atlantic Ocean, off the western coast of Africa. Cape Verde is divided into 22 municipalities (concelhos), and subdivided into 32 parishes (freguesias).																		
		GAZ:00003986	Cayman Islands [GAZ:00003986]					A British overseas territory located in the western Caribbean Sea, comprising the islands of Grand Cayman, Cayman Brac, and Little Cayman. The Cayman Islands are divided into seven districts.																		
		GAZ:00001089	Central African Republic [GAZ:00001089]					A landlocked country in Central Africa. It borders Chad in the north, Sudan in the east, the Republic of the Congo and the Democratic Republic of the Congo in the south, and Cameroon in the west. The Central African Republic is divided into 14 administrative prefectures (prefectures), along with 2 economic prefectures (prefectures economiques) and one autonomous commune. The prefectures are further divided into 71 sub-prefectures (sous-prefectures).																		
		GAZ:00000586	Chad [GAZ:00000586]					A landlocked country in central Africa. It is bordered by Libya to the north, Sudan to the east, the Central African Republic to the south, Cameroon and Nigeria to the southwest, and Niger to the west. Chad is divided into 18 regions. The departments are divided into 200 sub-prefectures, which are in turn composed of 446 cantons. This is due to change.																		
		GAZ:00002825	Chile [GAZ:00002825]					A country in South America occupying a long and narrow coastal strip wedged between the Andes mountains and the Pacific Ocean. The Pacific forms the country's entire western border, with Peru to the north, Bolivia to the northeast, Argentina to the east, and the Drake Passage at the country's southernmost tip. Chile claims 1,250,000 km2 of territory in Antarctica. Chile is divided into 15 regions. Every region is further divided into provinces. Finally each province is divided into communes. Each region is designated by a name and a Roman numeral, assigned from north to south. The only exception is the region housing the nation's capital, which is designated RM, that stands for Region Metropolitana (Metropolitan Region). Two new regions were created in 2006: Arica-Parinacota in the north, and Los Rios in the south. Both became operative in 2007-10.																		
		GAZ:00002845	China [GAZ:00002845]					A large country in Northeast Asia. China borders 14 nations (counted clockwise from south): Vietnam, Laos, Burma, India, Bhutan, Nepal, Pakistan, Afghanistan, Tajikistan, Kyrgyzstan, Kazakhstan, Russia, Mongolia and North Korea. Additionally the border between PRC and ROC is located in territorial waters. The People's Republic of China has administrative control over twenty-two provinces and considers Taiwan to be its twenty-third province. There are also five autonomous regions, each with a designated minority group; four municipalities; and two Special Administrative Regions that enjoy considerable autonomy. The People's Republic of China administers 33 province-level regions, 333 prefecture-level regions, 2,862 county-level regions, 41,636 township-level regions, and several village-level regions.																		
		GAZ:00005915	Christmas Island [GAZ:00005915]					An island in the Indian Ocean, 500 km south of Indonesia and about 2600 km northwest of Perth. The island is the flat summit of a submarine mountain.																		
		GAZ:00005838	Clipperton Island [GAZ:00005838]					A nine-square km coral atoll in the North Pacific Ocean, southwest of Mexico and west of Costa Rica.																		
		GAZ:00009721	Cocos Islands [GAZ:00009721]					Islands that located in the Indian Ocean, about halfway between Australia and Sri Lanka. A territory of Australia. There are two atolls and twenty-seven coral islands in the group.																		
		GAZ:00002929	Colombia [GAZ:00002929]					A country located in the northwestern region of South America. Colombia is bordered to the east by Venezuela and Brazil; to the south by Ecuador and Peru; to the North by the Atlantic Ocean, through the Caribbean Sea; to the north-west by Panama; and to the west by the Pacific Ocean. Besides the countries in South America, the Republic of Colombia is recognized to share maritime borders with the Caribbean countries of Jamaica, Haiti, the Dominican Republic and the Central American countries of Honduras, Nicaragua, and Costa Rica. Colombia is divided into 32 departments and one capital district which is treated as a department. There are in total 10 districts assigned to cities in Colombia including Bogota, Barranquilla, Cartagena, Santa Marta, Tunja, Cucuta, Popayan, Buenaventura, Tumaco and Turbo. Colombia is also subdivided into some municipalities which form departments, each with a municipal seat capital city assigned. Colombia is also subdivided into corregimientos which form municipalities.																		
		GAZ:00005820	Comoros [GAZ:00005820]					An island nation in the Indian Ocean, located off the eastern coast of Africa on the northern end of the Mozambique Channel between northern Madagascar and northeastern Mozambique.																		
		GAZ:00053798	Cook Islands [GAZ:00053798]					A self-governing parliamentary democracy in free association with New Zealand. The fifteen small islands in this South Pacific Ocean country have a total land area of 240 km2, but the Cook Islands Exclusive Economic Zone (EEZ) covers 1.8 million km2 of ocean.																		
		GAZ:00005917	Coral Sea Islands [GAZ:00005917]					A Territory of Australia which includes a group of small and mostly uninhabited tropical islands and reefs in the Coral Sea, northeast of Queensland, Australia. The only inhabited island is Willis Island. The territory covers 780,000 km2, extending east and south from the outer edge of the Great Barrier Reef, and including Heralds Beacon Island, Osprey Reef, the Willis Group, and fifteen other reef/island groups.																		
		GAZ:00002901	Costa Rica [GAZ:00002901]					A republic in Central America, bordered by Nicaragua to the north, Panama to the east-southeast, the Pacific Ocean to the west and south, and the Caribbean Sea to the east. Costa Rica is composed of seven provinces, which in turn are divided into 81 cantons.																		
		GAZ:00000906	Cote d'Ivoire [GAZ:00000906]					A country in West Africa. It borders Liberia and Guinea to the west, Mali and Burkina Faso to the north, Ghana to the east, and the Gulf of Guinea to the south. Cote d'Ivoire is divided into nineteen regions (regions). The regions are further divided into 58 departments.																		
		GAZ:00002719	Croatia [GAZ:00002719]					A country at the crossroads of the Mediterranean, Central Europe, and the Balkans. Its capital is Zagreb. Croatia borders with Slovenia and Hungary to the north, Serbia to the northeast, Bosnia and Herzegovina to the east, Montenegro to the far southeast, and the Adriatic Sea to the south. Croatia is divided into 21 counties (zupanija) and the capital Zagreb's city district.																		
		GAZ:00003762	Cuba [GAZ:00003762]					A country that consists of the island of Cuba (the largest and second-most populous island of the Greater Antilles), Isla de la Juventud and several adjacent small islands. Fourteen provinces and one special municipality (the Isla de la Juventud) now compose Cuba.																		
		GAZ:00012582	Curacao [GAZ:00012582]					One of five island areas of the Netherlands Antilles.																		
		GAZ:00004006	Cyprus [GAZ:00004006]					The third largest island in the Mediterranean Sea (after Sicily and Sardinia), Cyprus is situated in the eastern Mediterranean, just south of the Anatolian peninsula (or Asia Minor) of the Asian mainland; thus, it is often included in the Middle East (see also Western Asia and Near East). Turkey is 75 km north; other neighbouring countries include Syria and Lebanon to the east, Israel to the southeast, Egypt to the south, and Greece to the west-north-west.																		
		GAZ:00002954	Czech Republic [GAZ:00002954]					A landlocked country in Central Europe. It has borders with Poland to the north, Germany to the northwest and southwest, Austria to the south, and Slovakia to the east. The capital and largest city is Prague. The country is composed of the historic regions of Bohemia and Moravia, as well as parts of Silesia. Since 2000, the Czech Republic is divided into thirteen regions (kraje, singular kraj) and the capital city of Prague. The older seventy-six districts (okresy, singular okres) including three 'statutory cities' (without Prague, which had special status) were disbanded in 1999 in an administrative reform; they remain as territorial division and seats of various branches of state administration. Since 2003-01-01, the regions have been divided into around 203 Municipalities with Extended Competence (unofficially named "Little Districts" (Czech: 'male okresy') which took over most of the administration of the former District Authorities. Some of these are further divided into Municipalities with Commissioned Local Authority. However, the old districts still exist as territorial units and remain as seats of some of the offices.																		
		GAZ:00001086	Democratic Republic of the Congo [GAZ:00001086]					A country of central Africa. It borders the Central African Republic and Sudan on the north, Uganda, Rwanda, and Burundi on the east, Zambia and Angola on the south, the Republic of the Congo on the west, and is separated from Tanzania by Lake Tanganyika on the east. The country enjoys access to the ocean through a 40 km stretch of Atlantic coastline at Muanda and the roughly 9 km wide mouth of the Congo river which opens into the Gulf of Guinea. Congo Kinshasa is now divided into 11 Provinces, to be redistributed into 25 Provinces from 2.2009. Each Province is divided into Zones.																		
		GAZ:00005852	Denmark [GAZ:00005852]					That part of the Kingdom of Denmark located in continental Europe. The mainland is bordered to the south by Germany; Denmark is located to the southwest of Sweden and the south of Norway. Denmark borders both the Baltic and the North Sea. The country consists of a large peninsula, Jutland (Jylland) and a large number of islands, most notably Zealand (Sjaelland), Funen (Fyn), Vendsyssel-Thy, Lolland, Falster and Bornholm as well as hundreds of minor islands often referred to as the Danish Archipelago.																		
		GAZ:00000582	Djibouti [GAZ:00000582]					A country in eastern Africa. Djibouti is bordered by Eritrea in the north, Ethiopia in the west and south, and Somalia in the southeast. The remainder of the border is formed by the Red Sea and the Gulf of Aden. On the other side of the Red Sea, on the Arabian Peninsula, 20 km from the coast of Djibouti, is Yemen. The capital of Djibouti is the city of Djibouti. Djibouti is divided into 5 regions and one city. It is further subdivided into 11 districts.																		
		GAZ:00006890	Dominica [GAZ:00006890]					An island nation in the Caribbean Sea. Dominica is divided into ten parishes.																		
		GAZ:00003952	Dominican Republic [GAZ:00003952]					A country in the West Indies that occupies the E two-thirds of the Hispaniola island. The Dominican Republic's shores are washed by the Atlantic Ocean to the north and the Caribbean Sea to the south. The Mona Passage, a channel about 130 km wide, separates the country (and the Hispaniola) from Puerto Rico. The Dominican Republic is divided into 31 provinces. Additionally, the national capital, Santo Domingo, is contained within its own Distrito Nacional (National District). The provinces are divided into municipalities (municipios; singular municipio).																		
		GAZ:00002912	Ecuador [GAZ:00002912]					A country in South America, bordered by Colombia on the north, by Peru on the east and south, and by the Pacific Ocean to the west. The country also includes the Galapagos Islands (Archipelago de Colon) in the Pacific, about 965 km west of the mainland. Ecuador is divided into 24 provinces, divided into 199 cantons and subdivided into parishes (or parroquias).																		
		GAZ:00003934	Egypt [GAZ:00003934]					A country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea. Egypt is divided into 26 governorates (in Arabic, called muhafazat, singular muhafazah). The governorates are further divided into regions (markazes).																		
		GAZ:00002935	El Salvador [GAZ:00002935]					A country in Central America, bordering the Pacific Ocean between Guatemala and Honduras. El Salvador is divided into 14 departments (departamentos), which, in turn, are subdivided into 267 municipalities (municipios).																		
		GAZ:00001091	Equatorial Guinea [GAZ:00001091]					A country in Central Africa. It is one of the smallest countries in continental Africa, and comprises two regions: Rio Muni, continental region including several offshore islands; and Insular Region containing Annobon island in the South Atlantic Ocean, and Bioko island (formerly Fernando Po) that contains the capital, Malabo. Equatorial Guinea is divided into seven provinces which are divided into districts.																		
		GAZ:00000581	Eritrea [GAZ:00000581]					A country situated in northern East Africa. It is bordered by Sudan in the west, Ethiopia in the south, and Djibouti in the southeast. The east and northeast of the country have an extensive coastline on the Red Sea, directly across from Saudi Arabia and Yemen. The Dahlak Archipelago and several of the Hanish Islands are part of Eritrea. Eritrea is divided into six regions (zobas) and subdivided into districts ("sub-zobas").																		
		GAZ:00002959	Estonia [GAZ:00002959]					A country in Northern Europe. Estonia has land borders to the south with Latvia and to the east with Russia. It is separated from Finland in the north by the Gulf of Finland and from Sweden in the west by the Baltic Sea. Estonia is divided into 15 counties. (maakonnad; sing. - maakond). Estonian counties are divided into rural (vallad, singular vald) and urban (linnad, singular linn; alevid, singular alev; alevikud, singular alevik) municipalities. The municipalities comprise populated places (asula or asustusuksus) - various settlements and territorial units that have no administrative function. A group of populated places form a rural municipality with local administration. Most towns constitute separate urban municipalities, while some have joined with surrounding rural municipalities.																		
		GAZ:00001099	Eswatini [GAZ:00001099]					A small, landlocked country in Africa embedded between South Africa in the west, north and south and Mozambique in the east. Swaziland is divided into four districts, each of which is divided into Tinkhundla (singular, Inkhundla).																		
